Wind ID,Duration,latitude,longitude,Nearest town,State,Source,Max Gust speed,Max Gust direction,Max Mean Wind speed,Max Mean Wind direction,Path length,Path width,Path direction,Fujita scale,acq_date,acq_time,region
1376,0,-36.88,149.24,Bombala,NSW,AWS,48,0,0,0,0,0,0,0,2006-01-01,03:32:00,New South Wales
1377,0,-35.94,148.38,Cabramurra,NSW,AWS,63,0,0,0,0,0,0,0,2006-01-01,04:44:00,New South Wales
1378,0,-36.23,149.12,Cooma,NSW,AWS,56,0,0,0,0,0,0,0,2006-01-01,05:16:00,New South Wales
1379,0,-30.93,151.72,walcha,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-01-06,04:30:00,New South Wales
1380,0,-28.85,153.05,Casino,NSW,AWS,54,0,0,0,0,0,0,0,2006-01-06,08:45:00,New South Wales
1381,30,-31.17,150.54,breeza,NSW,SPOTTER,49,220,0,0,0,0,0,0,2006-01-12,04:30:00,New South Wales
1382,0,-34.72,150.0,Marulan,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-01-16,01:40:00,New South Wales
1383,0,-31.98,141.47,Broken Hill,NSW,AWS,55,0,0,0,0,0,0,0,2006-01-20,04:05:00,New South Wales
1384,0,-35.53,144.93,Deniliquin,NSW,AWS,49,0,0,0,0,0,0,0,2006-01-26,07:58:00,New South Wales
1385,0,-35.45,149.8,Braidwood,NSW,AWS,48,0,0,0,0,0,0,0,2006-01-28,05:15:00,New South Wales
1386,0,-32.59,149.58,mudgee,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-02-09,05:00:00,New South Wales
1387,0,-31.77,151.07,Murrurundi,NSW,AWS,56,0,0,0,0,0,0,0,2006-02-09,07:26:00,New South Wales
1388,0,-30.33,149.77,Narrabri,NSW,AWS,65,0,0,0,0,0,0,0,2006-02-09,07:37:00,New South Wales
1389,0,-29.45,153.22,Maclean,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-02-13,05:00:00,New South Wales
1390,0,-30.99,150.25,Gunnedah,NSW,AWS,54,0,0,0,0,0,0,0,2006-02-13,05:36:00,New South Wales
1391,0,-32.21,148.57,Dubbo,NSW,AWS,50,0,0,0,0,0,0,0,2006-02-15,06:46:00,New South Wales
1392,0,-30.99,150.25,Gunnedah,NSW,AWS,53,0,0,0,0,0,0,0,2006-02-15,10:00:00,New South Wales
1393,0,-33.39,148.01,Forbes,NSW,AWS,48,0,0,0,0,0,0,0,2006-02-16,06:17:00,New South Wales
1394,0,-33.14,148.15,Parkes,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-02-18,05:30:00,New South Wales
1395,0,-31.99,147.95,Trangie,NSW,AWS,51,0,0,0,0,0,0,0,2006-02-18,05:59:00,New South Wales
1396,0,-32.376,151.995,Stroud,NSW,"MEDIA, SES",0,0,0,0,0,0,0,0,2006-02-26,05:00:00,New South Wales
1397,0,-28.65,153.62,Byron Bay,NSW,MEDIA,0,0,0,0,0,0,0,0,2006-04-04,07:10:00,New South Wales
1398,0,-28.649,153.118,Larnook,NSW,,0,0,0,0,0,0,0,0,2006-10-26,08:30:00,New South Wales
1399,23,-32.965,151.701,kahibah,NSW,SPOTTER,50,360,0,0,0,0,0,0,2006-10-31,05:07:00,New South Wales
1400,0,-35.417,149.1,Tuggeranong,NSW,AWS,53,350,0,0,0,0,0,0,2006-11-02,02:08:00,Australian Capital Territory
1401,0,-33.39,148.01,Forbes,NSW,AWS,50,340,0,0,0,0,0,0,2006-11-02,05:01:00,New South Wales
1402,0,-30.25,149.68,Narrabri,NSW,SPOTTER,51,0,0,0,0,0,0,0,2006-11-02,06:32:00,New South Wales
1403,20,-29.832,152.885,Coutts Crossing,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-11-08,02:50:00,New South Wales
1404,180,-30.365,152.885,Promised Land,NSW,SPOTTER,54,288,0,0,0,0,0,0,2006-11-12,22:30:00,New South Wales
1405,6,-32.965,151.701,Kahibah,NSW,SPOTTER,51,198,0,0,0,0,0,0,2006-11-13,01:48:00,New South Wales
1406,0,-31.77,151.07,Murrurundi,NSW,AWS,73,330,0,0,0,0,0,0,2006-11-13,02:33:00,New South Wales
1407,0,-32.05,150.85,Scone,NSW,AWS,55,0,0,0,0,0,0,0,2006-11-13,02:55:00,New South Wales
1408,45,-30.215,151.668,guyra,NSW,SPOTTER,48,225,0,0,0,0,0,0,2006-11-13,04:00:00,New South Wales
1409,5,-31.0,151.233,Woolbrook,NSW,SPOTTER,49,315,0,0,0,0,0,0,2006-11-13,04:15:00,New South Wales
1410,0,-32.924,151.801,Nobbys Head,NSW,AWS,52,0,0,0,0,0,0,0,2006-11-22,05:39:00,New South Wales
